labels,source,path
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_1.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_2.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_3.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_4.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_5.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_6.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_7.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_8.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V1_9.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V2_1.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V2_2.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V2_3.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V2_4.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V2_5.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V2_6.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V3_1.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V3_2.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V3_3.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V3_4.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V3_5.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V3_6.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-1.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-10.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-11.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-12.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-13.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-14.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-2.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-3.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-4.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-5.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-6.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-7.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-8.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V4-9.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_1.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_12.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_14.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_17.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_19.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_2.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_20.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_22.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_24.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_25.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_26.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_27.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_28.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_29.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_3.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_32.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_34.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_4.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_5.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_6.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_8.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V5_9.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V6_1.wav
surprise,ANAD,Arabic Natural Audio Dataset/Speech/V6_2.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_1.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_10.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_11.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_13.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_16.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_17.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_18.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_19.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_21.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_23.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_24.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_3.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_5.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_6.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_7.wav
angry,ANAD,Arabic Natural Audio Dataset/Speech/V7_8.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_1.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_10.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_11.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_12.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_13.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_14.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_16.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_17.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_18.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_2.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_20.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_21.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_23.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_24.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_25.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_26.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_27.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_28.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_29.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_3.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_31.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_32.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_33.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_35.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_36.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_38.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_39.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_4.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_40.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_42.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_43.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_44.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_45.wav
